pk_id,cluster_id
0,1
10,2
188,3
186,4
368,5
193,5
256,5
294,6
534,7
556,7
558,7
276,8
425,8
439,8
450,8
458,8
325,9
337,10
510,11
515,11
518,12
365,12
611,13
756,13
789,13
473,14
481,14
639,14
574,14
530,14
501,14
447,14
774,14
845,14
841,14
415,10
681,10
551,10
747,10
831,10
1010,15
441,15
605,15
402,15
790,15
952,15
967,15
977,15
902,16
765,16
328,17
957,17
1115,17
469,17
1144,17
826,17
1017,17
1158,17
963,17
784,17
1004,18
944,18
838,18
622,19
1317,19
1261,19
1212,19
1320,19
1354,19
1016,20
1290,20
1155,20
1133,20
940,20
1049,20
1226,20
867,20
1002,20
1154,20
1431,21
1163,22
1138,22
1535,22
1542,22
1644,22
1598,22
1601,22
1614,22
1758,22
1736,22
1743,22
1766,22
1363,22
1404,22
1421,22
1420,22
1418,22
1419,22
1412,22
1621,22
1739,23
1791,23
1682,23
2133,24
2141,24
1928,24
1924,24
2103,24
1850,24
1860,24
1962,24
2152,24
2179,24
2021,24
2063,24
1493,25
666,25
1254,25
836,25
1060,25
886,25
1215,25
1637,25
984,25
820,25
1172,25
1082,25
1397,25
859,25
700,25
427,25
1547,25
538,25
1337,25
769,25
2510,26
2484,26
703,27
2703,28
2841,29
1306,30
2782,31
2661,32
2412,33
2110,33
1940,33
1947,33
2567,33
1991,33
2514,33
2543,33
2056,33
2322,33
2214,33
2755,33
2792,33
1895,33
1943,33
2309,33
1276,34
2596,34
1697,34
2050,35
1953,35
1701,35
1971,35
2544,36
2338,37
2378,37
2315,37
2542,37
2384,37
2432,37
2291,37
2465,37
2385,37
2527,37
2700,37
2723,37
2648,37
3076,37
2750,37
3005,37
2972,37
2833,37
3045,37
2956,37
3154,37
3208,37
3227,37
3052,37
3299,37
3189,37
3498,37
3514,37
3545,37
3550,37
2562,37
2244,37
2404,37
2537,37
2783,37
2775,37
2861,37
2994,37
3196,37
3198,37
3388,37
3402,37
3403,37
3429,37
2842,38
3564,38
3639,38
2843,38
3455,38
3645,38
3446,38
3681,38
3416,38
2960,38
3831,39
3852,39
3847,39
3857,39
3888,40
3390,40
2733,40
3544,40
2683,40
3460,41
3441,41
4003,42
4452,42
4455,42
4158,42
4327,42
3876,42
1021,43
3373,43
3594,43
4047,43
3978,43
4119,43
4125,43
4234,43
4240,43
4260,43
3987,43
4200,43
4016,43
4281,43
4288,43
4338,43
4360,43
4403,43
4407,43
4449,43
4188,43
4190,43
4395,43
4427,43
3868,43
3977,43
4006,43
4463,43
4112,43
4262,43
3606,44
4616,44
4635,44
4612,44
4607,44
4543,44
4531,44
4514,44
4707,44
4678,44
4761,44
4759,44
4824,44
4644,44
4497,44
4808,44
4379,45
5014,45
4609,45
5039,45
4604,46
5266,47
4622,47
4429,47
5267,47
4673,47
5270,48
3579,49
5621,49
5622,49
4879,49
4878,49
4934,49
4946,49
5269,49
4966,49
5056,49
5083,49
5194,49
5200,49
5253,49
5261,49
5306,49
5239,49
5358,49
5363,49
5420,49
5433,49
5453,49
5471,49
5530,49
5734,49
5583,49
5634,49
5600,49
5175,49
5247,49
5300,49
5658,49
5280,49
5078,49
4993,49
5025,49
5408,50
5431,50
5418,50
5840,50
5357,50
5775,50
5690,50
6059,51
5222,51
5168,51
6074,51
5716,51
6044,52
5947,52
5958,52
2617,53
1022,53
1510,54
129345,55
2962,55
4888,56
4941,56
5799,56
5800,56
5812,56
5829,56
6245,56
5988,56
5996,56
6013,56
6018,56
6026,56
6038,56
6055,56
6257,56
6088,56
6168,56
6142,56
6179,56
6199,56
6232,56
6214,56
6236,56
6226,56
4936,57
5815,58
6244,58
6300,58
6355,58
6368,58
6341,58
6324,58
6319,58
6328,59
6662,60
6418,60
5153,60
6495,60
6628,60
5442,60
6818,61
6618,61
6175,61
6164,61
6117,61
6100,61
6817,61
6130,61
6383,61
6259,61
6439,61
6292,61
6318,61
6293,61
6552,61
6559,61
6602,61
6613,61
6604,61
6777,62
6773,62
6934,62
6708,63
6901,63
7046,63
6813,63
6731,63
6726,63
6916,63
6939,63
7014,63
7009,63
6734,63
7233,63
7022,63
6866,64
6679,64
6467,64
7142,64
6617,64
6964,64
6557,64
7171,64
7238,64
6822,64
6762,64
6390,64
6597,64
6591,64
6687,64
6412,64
6453,64
7082,64
6533,64
6579,64
6457,64
7246,64
7154,64
6652,64
6442,64
6843,64
6949,64
6849,64
6888,64
6974,64
7004,64
6919,64
6990,64
6883,64
6480,64
6614,64
7167,64
7016,64
6863,64
7249,64
6516,64
7155,64
6551,64
6841,64
7290,64
7255,64
6469,64
6655,64
7706,65
7398,65
7839,65
7868,65
7715,65
7374,65
7681,65
7317,65
7628,65
7282,65
7531,65
7172,66
7389,66
7538,66
7791,67
7932,67
7806,67
7845,67
7862,67
8031,67
7756,67
8000,67
7967,67
8025,67
7941,67
7842,67
8214,68
7998,68
7940,68
7899,68
8001,68
8143,68
8057,69
6709,69
6865,69
6858,69
6699,69
8080,70
8666,70
8670,70
8132,70
8193,70
8200,70
8239,70
8343,70
8354,70
8368,70
8356,70
8372,70
8498,70
8267,70
8100,70
8275,70
8278,70
8280,70
8223,70
8293,70
8307,70
8617,70
8411,70
8457,70
8472,70
8564,70
8623,70
8692,70
8678,71
8279,72
8837,72
8587,72
8882,72
8260,72
8909,72
8584,72
8327,72
8383,72
8585,72
8426,72
8347,72
8682,72
8331,72
8681,72
8835,72
8272,73
8295,73
8274,73
7985,74
8772,74
9072,74
8839,74
8896,74
8900,74
8922,74
8919,74
8976,74
9019,74
8960,74
8954,74
8963,74
9035,74
9044,74
9047,74
9211,74
9238,74
9259,74
9261,74
9288,74
9275,74
9283,74
8872,74
8747,74
8983,74
8769,74
9146,74
9246,74
9177,74
9289,74
9279,74
9298,75
9172,75
9624,76
9497,76
9252,76
9115,76
9514,76
9721,76
9774,76
9725,76
9852,76
9201,76
9748,76
9884,76
9527,76
9529,76
9786,76
10413,77
10210,77
10387,77
10468,77
10442,77
10093,77
10280,77
9167,78
9830,78
9037,78
10162,78
9990,78
8996,78
10769,79
10626,79
10723,80
5241,81
11215,82
11454,83
5378,84
11231,85
11235,86
10864,86
10612,86
10661,86
10733,86
10569,86
10892,86
10564,86
6825,87
6420,87
7521,87
10989,87
6634,87
8183,87
7235,87
7594,87
8739,87
8254,87
10510,87
8657,87
10030,87
11526,87
6478,87
9419,87
6489,87
6538,87
8975,87
11130,87
6581,87
10785,87
6747,87
10108,87
10613,87
11015,87
11476,87
11079,87
11252,87
7377,87
7803,87
7750,87
8150,87
8244,87
11387,87
9372,87
8702,87
9074,87
9519,87
9522,87
9097,87
10021,87
9412,87
9834,87
10036,87
10033,88
9714,88
10957,88
10328,88
9575,88
10148,88
10298,88
10214,88
10955,88
9864,88
9859,88
9942,88
10682,88
9631,88
9960,88
9761,88
9397,88
9771,88
9542,88
10095,88
9327,88
9621,88
10910,88
9943,88
10345,88
10630,88
10475,88
10366,88
9945,88
10912,88
9334,88
9567,88
10476,88
9579,88
9329,88
10265,88
10512,88
10802,88
9384,88
10967,88
9914,88
10579,88
9835,88
10415,88
9923,88
9364,88
9702,88
10834,88
10776,88
9790,88
9925,88
10988,88
9782,88
9911,88
